hjd,camera,mag,mag_err,flux,flux_err
2458322.89324,bb,10.893,0.02,167.211,3.077
2456817.03745,ba,11.042,0.02,146.885,2.703
2457937.94898,ba,11.176,0.02,129.813,2.389
2457559.98094,bb,11.026,0.02,147.942,2.722
2457939.94157,bb,10.988,0.02,153.093,2.817
2457150.10144,bb,10.884,0.02,168.498,3.1
2457005.73835,ba,10.643,0.02,212.178,3.904
2456919.897,ba,11.021,0.02,149.797,2.756
2456232.8262,bb,10.877,0.02,169.703,3.123
2457503.11415,ba,11.163,0.02,131.389,2.418
2456520.89517,bb,10.806,0.02,181.092,3.332
2457174.07303,bb,10.421,0.02,258.067,4.748
2456796.07621,bb,10.822,0.02,178.429,3.283
2457901.05942,bb,10.979,0.02,154.372,2.84
2457221.94384,bb,10.895,0.02,166.882,3.071
2458246.1026,ba,10.827,0.02,179.153,3.296
2457002.74251,ba,10.479,0.02,246.731,4.54
2458310.04137,ba,11.164,0.02,131.335,2.417
2457246.99567,ba,11.088,0.02,140.849,2.592
2456972.73877,bb,11.056,0.02,143.911,2.648
2457273.95805,ba,11.002,0.02,152.455,2.805
2457551.00886,ba,11.027,0.02,148.984,2.741
2457587.09967,ba,11.11,0.02,137.995,2.539
2458282.0118,bb,11.126,0.02,134.913,2.482
2457547.0559,ba,11.133,0.02,135.179,2.487
2458008.99682,ba,11.106,0.02,138.489,2.548
2456900.92011,ba,10.853,0.02,174.904,3.218
2456527.85265,ba,10.864,0.02,173.065,3.184
2456993.78239,bb,10.866,0.02,171.3,3.152
2458013.98254,bb,10.941,0.02,159.974,2.944
2457321.79644,bb,10.72,0.02,196.062,3.608
2456875.97348,bb,10.742,0.02,192.109,3.535
2457980.03392,ba,10.692,0.02,202.778,3.731
2457697.84715,ba,10.503,0.02,241.461,4.443
2457003.73546,ba,10.949,0.02,160.101,2.946
